0     main
37    )
var   KLMNOPQRSTUVWXYZUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
int   56789
var   doZ456789MNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZreturnOPQRSTUVWXYZ
37    )
38    :=
var   HIJKLMNOPQRSTUVWXYZ234567898989
42    空格
var   constDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZstruct
29    <>
int   45678956789
var   ABCDEFGHIJKLMNOPQRSTUVWXYZ6789char
42    空格
int   456789
27    >
var   ABCDEFGHIJKLMNOPQRSTUVWXYZ
38    :=
42    空格
int   67899
var   maintypedefLMNOPQRSTUVWXYZ
32    +
36    (
var   const5678956789STUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ78923456789
42    空格
38    :=
33    -
var   OPQRSTUVWXYZdo
42    空格
28    <=
var   returnJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   DEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
41    #
42    空格
int   6789
42    空格
var   DEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ6789
27    >
var   GHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZcontinue
42    空格
39    :
26    >=
var   XYZlongCDEFGHIJKLMNOPQRSTUVWXYZMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZdefault
33    -
var   MNOPQRSTUVWXYZ123456789
42    空格
37    )
42    空格
41    #
19    short
40    ;
42    空格
int   9
var   EFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
13    case
42    空格
27    >
42    空格
int   89
var   PQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZfloat
26    >=
9     break
42    空格
int   9
var   QRSTUVWXYZ789NOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZEFGHIJKLMNOPQRSTUVWXYZQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ567890123456789JKLMNOPQRSTUVWXYZ956789ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
38    :=
var   CDEFGHIJKLMNOPQRSTUVWXYZdoublestatic234567896789
42    空格
var   doif
42    空格
var   sizeofdefault
32    +
31    =
var   floatfloatfloat
42    空格
4     do
42    空格
var   QRSTUVWXYZ
34    *
var   ZABCDEFGHIJKLMNOPQRSTUVWXYZ
40    ;
var   UVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
int   1234567890123456789
34    *
int   123456789
var   struct3456789OPQRSTUVWXYZ
42    空格
int   6789
var   while456789const
42    空格
var   VWXYZswitch3456789
27    >
35    /
var   returntypedef
30    <
35    /
31    =
int   3456789
20    continue
42    空格
var   BCDEFGHIJKLMNOPQRSTUVWXYZdo9doubleCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZdouble0123456789RSTUVWXYZUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ45678989PQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
34    *
var   returnGHIJKLMNOPQRSTUVWXYZtypedef
32    +
var   switch0123456789DEFGHIJKLMNOPQRSTUVWXYZ
32    +
36    (
36    (
int   123456789
42    空格
32    +
int   789789
33    -
29    <>
42    空格
var   double6789char456789
42    空格
int   789
42    空格
int   34567893456789
35    /
int   89
var   returnQRSTUVWXYZ
42    空格
38    :=
var   breakdefaulttypedef
42    空格
var   longdo
42    空格
33    -
42    空格
int   456789
27    >
27    >
int   89
40    ;
var   BCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZdo23456789
36    (
42    空格
var   KLMNOPQRSTUVWXYZIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZRSTUVWXYZ89while23456789case
28    <=
var   HIJKLMNOPQRSTUVWXYZdefault
42    空格
var   caseWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
39    :
42    空格
var   XYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
int   56789
42    空格
29    <>
42    空格
var   return789
42    空格
27    >
int   789
33    -
19    short
42    空格
36    (
var   doUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
32    +
42    空格
var   switch456789typedefKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ789
42    空格
var   FGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZMNOPQRSTUVWXYZOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
33    -
var   void9Z
42    空格
var   CDEFGHIJKLMNOPQRSTUVWXYZlongstaticIJKLMNOPQRSTUVWXYZPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   HIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   Zstruct
30    <
42    空格
int   9
1     if
42    空格
var   thenthenYZ
35    /
int   23456789789
19    short
41    #
var   RSTUVWXYZdoubleifPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ89BCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   FGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
39    :
int   89
var   staticCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZshortGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZcontinue6789RSTUVWXYZ
33    -
var   ZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   HIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
int   6789
42    空格
22    void
35    /
23    default
38    :=
28    <=
var   sizeof56789WXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
40    ;
int   6789
36    (
42    空格
var   struct56789DEFGHIJKLMNOPQRSTUVWXYZ
32    +
37    )
42    空格
40    ;
30    <
int   56789
var   casestaticbreak6789switch456789FGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
40    ;
var   IJKLMNOPQRSTUVWXYZUVWXYZUVWXYZIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZWXYZ3456789
42    空格
var   CDEFGHIJKLMNOPQRSTUVWXYZsizeofABCDEFGHIJKLMNOPQRSTUVWXYZstatic
42    空格
var   KLMNOPQRSTUVWXYZZABCDEFGHIJKLMNOPQRSTUVWXYZ123456789
42    空格
var   IJKLMNOPQRSTUVWXYZUVWXYZcontinueJKLMNOPQRSTUVWXYZ
42    空格
var   FGHIJKLMNOPQRSTUVWXYZZ
35    /
5     static
42    空格
int   56789
var   QRSTUVWXYZ
42    空格
int   890123456789
26    >=
var   DEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   HIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
int   9
var   KLMNOPQRSTUVWXYZ
28    <=
int   56789
var   chardefault89456789typedef
42    空格
19    short
36    (
var   charthenIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ23456789
33    -
var   YZABCDEFGHIJKLMNOPQRSTUVWXYZ
37    )
var   RSTUVWXYZQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZYZABCDEFGHIJKLMNOPQRSTUVWXYZ
36    (
42    空格
38    :=
int   3456789
var   intdo
42    空格
24    sizeof
42    空格
var   GHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZthen
42    空格
int   89
42    空格
38    :=
32    +
37    )
41    #
40    ;
18    float
37    )
32    +
42    空格
var   typedefQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
27    >
int   3456789
30    <
var   KLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ7891234567896789switch
42    空格
34    *
var   STUVWXYZ456789floatDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ123456789
42    空格
var   WXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
12    switch
42    空格
var   HIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZYZ
42    空格
var   QRSTUVWXYZ
30    <
var   QRSTUVWXYZ6789789caseYZ89returnsizeof
42    空格
int   890123456789
var   do789
36    (
var   HIJKLMNOPQRSTUVWXYZTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
30    <
42    空格
8     struct
42    空格
var   continuechar56789switch
26    >=
var   GHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
39    :
42    空格
var   Zdefault
31    =
14    typedef
42    空格
21    for
42    空格
int   23456789
40    ;
42    空格
var   fordoublereturn678989STUVWXYZ
42    空格
36    (
var   break4567893456789
42    空格
var   sizeofPQRSTUVWXYZmainABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
34    *
39    :
42    空格
2     then
42    空格
var   HIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
33    -
42    空格
var   breakfloatwhile
42    空格
36    (
42    空格
var   casePQRSTUVWXYZ
39    :
var   GHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
40    ;
37    )
int   456789
42    空格
var   void123456789float
42    空格
int   56789
var   int1234567897899break
42    空格
15    char
42    空格
39    :
int   9
var   KLMNOPQRSTUVWXYZ789VWXYZLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
41    #
var   RSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
30    <
var   static7896789
42    空格
int   123456789
var   OPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
28    <=
var   MNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZQRSTUVWXYZIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZchar6789double
42    空格
36    (
42    空格
var   UVWXYZ89VWXYZ
29    <>
var   FGHIJKLMNOPQRSTUVWXYZ
41    #
int   23456789
var   DEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZHIJKLMNOPQRSTUVWXYZJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZTUVWXYZ
34    *
var   FGHIJKLMNOPQRSTUVWXYZconst456789
42    空格
27    >
int   3456789
var   STUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ23456789short7890123456789456789
37    )
var   BCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZRSTUVWXYZshort23456789sizeofWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789JKLMNOPQRSTUVWXYZLMNOPQRSTUVWXYZconst
30    <
var   mainABCDEFGHIJKLMNOPQRSTUVWXYZ
37    )
var   VWXYZfloat
27    >
var   typedefOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
41    #
29    <>
var   PQRSTUVWXYZforcontinue
27    >
var   floatKLMNOPQRSTUVWXYZ3456789intsizeof
42    空格
int   23456789899
42    空格
var   WXYZ23456789int
42    空格
int   3456789
42    空格
9     break
42    空格
var   mainHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
26    >=
var   RSTUVWXYZreturnbreak
42    空格
10    else
32    +
19    short
42    空格
var   doubleEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
28    <=
42    空格
var   longconstdouble
32    +
var   whileRSTUVWXYZ
36    (
var   RSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZfor
40    ;
var   doFGHIJKLMNOPQRSTUVWXYZVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
int   123456789
var   RSTUVWXYZDEFGHIJKLMNOPQRSTUVWXYZEFGHIJKLMNOPQRSTUVWXYZ6789
42    空格
int   123456789
42    空格
32    +
var   charOPQRSTUVWXYZ23456789
26    >=
var   CDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
39    :
10    else
42    空格
28    <=
var   STUVWXYZ456789double
37    )
34    *
42    空格
var   MNOPQRSTUVWXYZdoublereturn
37    )
var   HIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZshort
42    空格
35    /
var   CDEFGHIJKLMNOPQRSTUVWXYZVWXYZ
42    空格
var   doKLMNOPQRSTUVWXYZDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   LMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
38    :=
int   89
26    >=
42    空格
27    >
int   9
34    *
36    (
int   6789
var   RSTUVWXYZcase01234567896789
41    #
34    *
17    const
42    空格
var   whiledoFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZWXYZ
31    =
var   typedefforcaseHIJKLMNOPQRSTUVWXYZ
42    空格
int   7896789234567890123456789
41    #
int   56789
42    空格
26    >=
29    <>
var   ABCDEFGHIJKLMNOPQRSTUVWXYZ
41    #
42    空格
int   6789
41    #
var   ABCDEFGHIJKLMNOPQRSTUVWXYZwhile89TUVWXYZ
26    >=
1     if
32    +
32    +
38    :=
9     break
42    空格
var   JKLMNOPQRSTUVWXYZ
37    )
42    空格
var   KLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZstaticPQRSTUVWXYZ789elseCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
33    -
42    空格
4     do
36    (
36    (
var   MNOPQRSTUVWXYZconst
41    #
42    空格
var   ifvoid
42    空格
32    +
36    (
int   123456789
38    :=
int   23456789
42    空格
4     do
26    >=
var   UVWXYZWXYZ
35    /
39    :
int   123456789
42    空格
var   BCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   LMNOPQRSTUVWXYZswitch
42    空格
var   STUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZHIJKLMNOPQRSTUVWXYZCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
4     do
42    空格
14    typedef
38    :=
var   ifSTUVWXYZ
35    /
int   456789
31    =
17    const
42    空格
32    +
40    ;
var   VWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ123456789
42    空格
int   6789
var   GHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ789QRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZwhile123456789WXYZ123456789BCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
26    >=
int   56789
var   EFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
5     static
40    ;
28    <=
28    <=
var   ZABCDEFGHIJKLMNOPQRSTUVWXYZswitchNOPQRSTUVWXYZMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
32    +
42    空格
var   KLMNOPQRSTUVWXYZ
